,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,-615711.63,0,0,0,-95787.45,0,0,0,0,0,6760289.35,0,261312.36,0,-1721.29,0,119071.37,0,-14340.00,0,-5405617.78,0,-5899190.58,0,-8301.24,0,-64.11,0,-17560.69,0,-3154.12,0,654331.84,0,56559.27,0,43125.26,0,79114.57,0,672929.63,0,-13688.61,20418.78,0.0
53,固定资产报废损失,5447004.57,0,207028.05,0,5935998.00,0,345388.74,0,19579678.29,0,9727677.61,0,3759038.82,0,21695.12,0,2150332.66,0,344001.21,0,1961052.84,0,30528.49,0,172882.57,0,111390.39,0,50467.12,0,701.72,0,119487.48,0,0,0,45436.12,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,-337822.81,0,0,0,-435994.13,0,0,0,0,0,0,0,0,0,0,0,1234614.23,0,0,0,140613.82,0,0,0,231945.96,0,0,0,-19461.73,0,0,0,0,0,0,0,6584042.79,0,4124351.92,0,8471248.50,0,12053954.25,13394207.08,0.0
58,投资损失,-34290358.38,0,-9575009.58,0,-53385750.26,0,-26158298.00,0,-24100342.02,0,-10562515.74,0,-8349794.18,0,-2997492.23,0,-5080261.26,0,-2734899.55,0,-2285468.16,0,-233742.11,0,-288410.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-444109.59,-55890.41,0.0
59,递延所得税资产减少,-732430.47,0,389834.89,0,-5094822.13,0,367302.96,0,-676087.69,0,501836.03,0,1808950.47,0,1043437.58,0,-1450498.26,0,920128.19,0,-2959236.85,0,-171067.86,0,-8276338.70,0,125559.27,0,10696.17,0,-156793.32,0,-5785244.26,0,1838.36,0,306530.96,0,-535019.54,0,475416.59,0,-584009.88,-59821.58,0.0
60,递延所得税负债增加,-738063.51,0,-184443.97,0,-415522.69,0,-185445.10,0,-379913.22,0,-193155.41,0,-378093.98,0,0,0,-102761.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,-83721357.16,0,-63369311.31,0,-82172924.64,0,-71442631.04,0,-75492536.01,0,-75619121.34,0,3003202.45,0,-39534901.04,0,-33760581.55,0,-47315985.89,0,-27160396.86,0,-77547480.19,0,-919572.32,0,-9582785.49,0,15262827.86,0,24382967.81,0,-24729061.75,0,-18213176.16,0,-41560442.64,0,-34054482.94,0,9105796.36,0,-10536555.15,-4912877.10,0.0
62,经营性应收项目的减少,-14588384.69,0,-77214776.28,0,2202757.04,0,-38704036.33,0,-13883909.64,0,-13822214.11,0,3608288.51,0,-6074025.52,0,11879599.00,0,659811.03,0,2595947.71,0,-3604686.75,0,-14271806.61,0,-4736150.38,0,6863199.52,0,-14989918.33,0,-2134694.54,0,-16099202.64,0,2645338.84,0,-2193471.64,0,26947659.06,0,15323521.35,-32032559.77,0.0
63,经营性应付项目的增加,-28491563.08,0,28438641.95,0,-29541837.84,0,-7879194.72,0,160058905.77,0,77250156.76,0,85362661.16,0,30134554.16,0,70416566.90,0,-4235841.90,0,-23841707.73,0,-30169595.00,0,48824990.30,0,584542.16,0,-27974255.55,0,-13044127.87,0,35383483.17,0,-3082802.08,0,66795425.63,0,38181567.73,0,37698802.14,0,-54715619.68,18919385.21,0.0
64,已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,其他,0,0,0,0,0,0,0,0,-18166656.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
