,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1951,601228,广州港,0.12,-20.0,,7.25,0.12,67249.25,-16.65,,04-18
1952,300673,佩蒂股份,1.0,104.08,5.62,19.28,,5821.64,106.79,,04-18
1953,002752,昇兴股份,0.33,6.45,,10.68,,13179.37,18.66,,04-18
1954,603508,思维列控,2.25,13.07,,30.54,,27037.07,13.38,10派1.69,04-18
1955,002581,未名医药,0.56,-3.45,,20.71,,25025.38,207.14,,04-18
1956,002677,浙江美大,0.39,-43.48,,15.32,,15564.12,13.0,,04-18
1957,002602,世纪华通,0.4,-33.33,,10.72,,40786.81,95.0,,04-18
1958,002418,康盛股份,0.26,-300.0,,4.8,,9036.61,-397.51,,04-18
1959,002553,南方轴承,0.19,-50.04,,10.23,,6522.22,-0.07,,04-18
1960,603927,中科软,0.44,-37.14,1.89,25.45,,16794.47,13.16,10派2,04-18
1961,688181,八亿时空,0.19,5.56,2.98,6.66,,961.3,10.31,,04-18
1962,002127,南极电商,0.59,2850.0,,43.88,,17181.94,1549.34,,04-18
1963,601689,拓普集团,0.66,-14.29,,15.28,,40854.49,2.39,,04-18
1964,688003,天准科技,0.42,-74.07,2.59,22.25,,2769.33,-46.5,,04-18
1965,300510,金冠股份,0.77,10.0,4.94,17.34,0.82,5004.76,10.47,,04-18
1966,603818,曲美家居,0.26,-52.73,,11.71,,11694.03,16.4,,04-18
1967,300477,合纵科技,0.92,0.0,,15.32,,8749.55,16.22,,04-18
1968,600610,*ST毅达,-0.01,-111.11,,-0.61,,-654.63,-106.55,,04-16
1969,600308,华泰股份,0.06,6.8,,1.02,,6457.49,7.41,10派0.17,04-16
1970,000790,华神科技,-0.09,-150.55,,-6.16,,-3740.8,-156.6,,04-16
1971,600770,综艺股份,-0.19,-663.99,,-7.3,,-24631.47,-693.1,,04-16
1972,600501,航天晨光,0.05,-77.27,,1.12,,1882.97,-77.93,10派0.15,04-16
1973,002222,福晶科技,0.12,-331.54,,5.9,,3557.19,-331.66,10派0.5转5,04-16
1974,603606,东方电缆,0.16,-70.91,,6.39,,5038.4,-22.5,,04-16
1975,600126,杭钢股份,-1.3,-13100.0,,-39.41,,-108890.89,-10244.85,,04-16
1976,600282,南钢股份,-0.63,-933.47,,-33.16,,-243242.59,-933.23,,04-16
1977,600713,南京医药,0.18,24.11,,7.06,,15672.45,21.6,10派0.2,04-16
1978,601558,ST锐电,-0.74,-7500.0,,-68.18,,-445226.98,-5614.82,,04-16
1979,002517,恺英网络,1.17,-490.0,,72.08,,65479.89,-1340.56,,04-16
1980,603399,吉翔股份,-0.87,-643.75,,-27.24,,-35228.73,-735.94,,04-16
1981,600127,金健米业,-0.27,-1508.38,,-21.06,,-17266.29,-1505.8,,04-16
1982,600166,福田汽车,0.13,-23.53,,2.3,,40641.4,-14.82,10派0.37送3转7,04-16
1983,600477,杭萧钢构,0.17,49.11,,9.85,,12051.04,103.37,,04-16
1984,600496,精工钢构,0.13,-71.18,,5.55,,19159.06,-28.11,10派0.2,04-16
1985,002017,东信和平,0.19,-7.16,,8.17,,6431.77,11.73,,04-16
