,code,name,mbrg,nprg,nav,targ,epsg,seg
1659,000010,*ST美丽,-23.4899,-96.6158,4.8469999999999995,-7.8395,-120.0,0.4385
1660,000007,全新好,2.5039,-97.6937,,-30.2424,-109.6321,117.9766
1661,000662,天夏智慧,7.4746,-97.9001,-1.0499,3.4837,-89.4737,-1.1349
1662,000687,华讯方舟,9.9523,-98.5391,-13.249,-13.4392,-99.0991,-13.2675
1663,000719,中原传媒,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1664,000421,南京公用,0.5724,-102.6978,3.7284,5.2313,-80.9429,16.7355
1665,600732,爱旭股份,-83.3912,-104.0119,-2.8668,23.1748,-103.8184,-4.4127
1666,600556,ST慧球,-96.3852,-104.8778,,-95.774,-103.7562,-92.6163
1667,000059,华锦股份,602.797,-107.2842,-1.1215,47.2344,-105.0761,-1.7767
1668,600847,万里股份,-20.4506,-108.9771,-1.7863,39.3237,-114.0,-4.7168
1669,000557,西部创业,-100.0,-109.0414,,54.2169,-108.8235,-14.9135
1670,000609,中迪投资,0.4011,-110.7862,-8.2367,-3.8574,-112.7358,-8.4022
1671,000534,万泽股份,-64.117,-111.8195,-1.7628,1.3228,-532.5,-5.3967
1672,000615,京汉股份,0.2733,-115.3992,-5.9059,-2.9649,-115.2941,-5.8752
1673,000525,红太阳,1.7436,-116.5978,-4.9202,-1.7876,-93.19,-3.7566
1674,600689,上海三毛,23.9339,-117.2584,-3.5312,4.5621,-113.0396,-3.6369
1675,000702,正虹科技,5.4223,-117.7306,-0.139,12.4906,-166.6667,-0.4807
1676,600191,华资实业,45.3964,-122.4095,0.0173,1.6971,-125.0,0.0757
1677,000899,赣能股份,-5.3443,-126.9936,-1.1956,0.6579999999999999,-122.8685,-1.2029
1678,600225,天津松江,-23.256,-127.0675,2.8537,45.3396,-115.8824,4.7273
1679,600027,华电国际,23.803,-130.0521,21.1694,25.9648,-133.3333,26.4621
1680,600312,平高电气,-19.5385,-139.1,74.9819,12.0708,-129.2714,75.5044
1681,000546,金圆股份,-82.8847,-139.5748,-3.7737,53.888000000000005,-138.8525,-5.0202
1682,002019,亿帆医药,2.8703,-141.9949,-2.5921,5.9696,-129.4118,-3.7548
1683,600320,振华重工,-41.2772,-148.803,-4.3909,-7.7791,-147.8261,-3.9917
1684,600073,上海梅林,-4.4697,-151.8335,-9.8164,-15.5446,116.0,-8.3785
1685,000426,兴业矿业,21.3088,-152.6233,-5.109,-1.5496,-150.0,-5.1160000000000005
1686,002052,同洲电子,21.936,-163.4613,-4.1403,19.8226,-155.0,-4.1031
1687,000155,川能动力,-10.368,-164.4224,-3.386,5.9337,-155.5556,-3.6398
1688,600249,两面针,32.2722,-172.3508,-20.1487,-12.7561,-175.042,-21.5874
1689,000037,深南电A,-19.8593,-185.7738,-12.9975,-2.6301,-193.19,-12.8834
1690,002166,莱茵生物,-26.4772,-195.7812,-6.6299,7.8509,-147.0588,-6.6325
1691,000856,冀东装备,16.1235,-202.0324,-62.5289,-2.6865,-203.4483,-66.0303
1692,000030,富奥股份,-100.0,-206.6874,,-4.864,-207.3333,1.6099
1693,000502,绿景控股,-82.1748,-216.02700000000002,-12.8404,15.335999999999999,-224.0702,-9.9186
1694,000717,韶钢松山,49.3731,-237.8349,-0.0209,12.1285,-238.1356,-0.0209
1695,002107,沃华医药,-50.597,-250.5584,-4.8268,-4.2434,-250.0,-4.8268
1696,600537,亿晶光电,18.3987,-256.5508,-2.8131,-3.926,-420.8333,-4.1817
1697,600575,淮河能源,8.8805,-283.8995,-2.1517,15.1087,-400.0,-2.0589
1698,000912,泸天化,-28.8639,-291.2598,-9.4763,4.3425,-176.9231,-3.573
1699,600615,丰华股份,-70.3909,-298.4527,-2.5937,10.936,-300.0,-2.5937
1700,600392,盛和资源,-25.07,-300.5446,-8.9912,-15.0252,-296.3702,-8.9189
1701,600331,宏达股份,5.8361,-302.1308,-12.6785,20.3998,-383.9463,-24.7583
1702,000019,深粮控股,16.6247,-352.1479,-10.3134,11.6897,-515.9864,-12.1019
1703,600692,亚通股份,-32.1112,-374.2875,-9.4182,10.6127,-371.7391,-10.3931
1704,600961,株冶集团,39.16,-375.2471,-8.8921,31.4482,-373.6842,-8.8661
1705,600540,新赛股份,36.0229,-425.9757,-1.7358,21.7135,-234.1637,-1.6766
1706,600854,春兰股份,38.4894,-620.9653,-12.6439,-10.4535,-446.1538,-15.7619
1707,600429,三元股份,7.2424,-653.3049,85.3652,46.1442,-440.3162,90.1438
1708,600735,新华锦,-21.5508,-680.2381,5.5636,-5.4465,-263.0769,18.6412
1709,600877,*ST电能,-5.9448,-688.4526,-4.7527,-10.6572,-758.0,-4.6703
1710,600319,ST亚星,6.675,-703.7762,-20.1707,2.302,-1781.8182,-20.927
1711,600579,克劳斯,27.0221,-724.2743,-128.121,1.1908,-724.1135,-128.121
1712,600856,ST中天,11.9706,-901.0791,-25.3083,-3.2239999999999998,-915.0,-25.6125
1713,600882,妙可蓝多,6.091,-913.7683,-10.0255,-3.0697,-950.0,-9.9416
1714,000607,华媒控股,-43.1188,-923.7801,-18.9124,-27.5926,682.5397,-25.8481
1715,600215,长春经开,10.3849,-928.9335,-4.083,-0.875,-926.3699,-4.0803
